gamma,k,fingerprint_length,n_recipients,sk,id,code,embedding_ratio,experiment_no,attack_strength,detection_confidence,accuracy,hellinger_distance,hellinger_distance_remaining,marital-status_relationship,marital-status_sex,relationship_sex,income_relationship,education_education-num,age_marital-status,education-num_occupation,age_relationship
2,300,128,20,104,0,tardos,0.5,0,0.2,1.0,0.8125,0.2185681045932344,0.023210130741543,0.0213688728105975,0.0042151796573695,0.0181595018827988,0.056212146974528,,0.0591054319805517,,0.0667902886330484
2,300,128,20,104,0,tardos,0.5,1,0.2,1.0,0.8125,0.2102399528815842,0.0127999411019803,0.0213688728105975,0.0042151796573695,0.0181595018827988,0.056212146974528,0.0019292112483069,,0.0006329096122127,
2,300,128,20,104,0,tardos,0.5,2,0.2,1.0,0.8125,0.210735240844289,0.0134190510553613,0.0213688728105975,0.0042151796573695,0.0181595018827988,0.056212146974528,0.0019292112483069,,,
2,300,128,20,104,0,tardos,0.5,0,0.3,1.0,0.75,0.2851954206055358,0.0252664826439124,0.0213688728105975,0.0042151796573695,0.0181595018827988,0.056212146974528,,0.0591054319805517,,0.0667902886330484
2,300,128,20,104,0,tardos,0.5,1,0.3,1.0,0.75,0.2766468937865199,0.0136094006179817,0.0213688728105975,0.0042151796573695,0.0181595018827988,0.056212146974528,0.0019292112483069,,0.0006329096122127,
2,300,128,20,104,0,tardos,0.5,2,0.3,1.0,0.75,0.272770435568632,0.0083233212299528,0.0213688728105975,0.0042151796573695,0.0181595018827988,0.056212146974528,0.0019292112483069,,,
2,300,128,20,104,0,tardos,0.5,0,0.4,1.0,0.625,0.4183171438708038,0.0305285731180063,0.0213688728105975,,,0.056212146974528,,,,
2,300,128,20,104,0,tardos,0.5,1,0.4,1.0,0.625,0.4099128997265458,0.016521499544243,0.0213688728105975,,,0.056212146974528,,,,
2,300,128,20,104,0,tardos,0.5,2,0.4,1.0,0.625,0.4053761785412622,0.0089602975687702,0.0213688728105975,0.0042151796573695,0.0181595018827988,,0.0019292112483069,,,
2,300,128,20,104,0,tardos,0.5,0,0.5,1.0,0.5,0.5506047285957549,0.0370101327051891,,,,,,,,
2,300,128,20,104,0,tardos,0.5,1,0.5,1.0,0.5,0.5382322511270126,0.0104976809864555,0.0213688728105975,,,0.056212146974528,,,,
2,300,128,20,104,0,tardos,0.5,2,0.5,1.0,0.5,0.5375449190804972,0.0090248266010653,0.0213688728105975,0.0042151796573695,0.0181595018827988,,,,,
2,300,128,20,104,0,tardos,0.5,0,0.6,1.0,0.4375,0.6170116695006906,0.0425291737517265,,,,,,,,
2,300,128,20,104,0,tardos,0.5,1,0.6,1.0,0.4375,0.6042267420774073,0.0105668551935183,0.0213688728105975,,,0.056212146974528,,,,
2,300,128,20,104,0,tardos,0.5,2,0.6,1.0,0.4375,0.6038290757566209,0.0095726893915523,0.0213688728105975,0.0042151796573695,0.0181595018827988,,,,,
2,300,128,20,104,0,tardos,0.5,0,0.7,1.0,0.375,0.6819611581493732,0.0458834744481194,,,,,,,,
